step_number,step_description,unit,component_item_code,blend_item_code
4,Sample blend; label sample container; and deliver sample to QC Lab.,,,602068
1,Gather the required materials.,,,602070
2,Verify that the vessel is clean. ,,,602070
3,Apply GHS label to the mix vessel.,,,602070
4,Charge vessel with Conoco Ultra S8,GAL,100449,602070
5,Start agitator.,,,602070
6,Add SV265,lbs,100424,602070
7,Add V385,lbs,100422,602070
8,Add Infineum S956,lbs,100450,602070
9,Agitate for 1 hour.,,,602070
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,602070
11,Ensure that any agitators used have been turned off.,,,602070
12,Remove GHS label from the mix vessel.,,,602070
1,Gather the required materials.,,,602071
2,Verify that the vessel is clean. ,,,602071
3,Apply GHS label to the mix vessel.,,,602071
4,Charge vessel with Conoco Ultra S8,GAL,100449,602071
5,Start agitator.,,,602071
6,Add SV265,lbs,100424,602071
7,Add V385,lbs,100422,602071
8,Add Infineum S956,lbs,100450,602071
9,Agitate for 1 hour.,,,602071
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,602071
11,Ensure that any agitators used have been turned off.,,,602071
12,Remove GHS label from the mix vessel.,,,602071
1,Gather the required materials.,,,602072
2,Verify that the vessel is clean. ,,,602072
3,Apply GHS label to the mix vessel.,,,602072
4,Charge vessel with Conoco Ultra S8,,100449,602072
5,Start agitator.,,,602072
6,Add S956,,100450,602072
7,Add PAO 100,,100451,602072
8,Agitate for 1 hour.,,,602072
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,602072
10,Ensure that any agitators used have been turned off.,,,602072
11,Remove GHS label from the mix vessel.,,,602072
1,Gather the required materials.,,,602075
2,Verify that the vessel is clean. ,,,602075
3,Apply GHS label to the mix vessel.,,,602075
4,Charge vessel with DI water.,,030143,602075
5,Ensure that the DI water pump is turned off.,,,602075
6,Start agitator.,,,602075
7,Add Potassium Carbonate,,030138,602075
8,Add Sodium Metasilicate,,240073,602075
9,Add Versene 100,,030019,602075
10,Add Vitech Eqi,,100518,602075
11,Agitate for 5 minutes. ,,,602075
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,602075
13,Ensure that any agitators used have been turned off.,,,602075
14,Remove GHS label from the mix vessel.,,,602075
1,Gather the required materials.,,,602076
2,Verify that the vessel is clean. ,,,602076
3,Apply GHS label to the mix vessel.,,,602076
4,Charge vessel with water.,gal,WATER,602076
5,Start agitator.,,,602076
6,Add Soda Ash,lbs,030137,602076
7,Agitate until ingredients are mixed.,,,602076
8,Add Tomadol 91-8,lbs,031013,602076
9,Add Dissolvene GL-47,lbs,031035,602076
10,Add Keyacid Napthol Green B-1,grams,030016,602076
11,Add APS-342,grams,031036,602076
12,Agitate for 15 minutes.,,,602076
13,Sample blend; label sample container; and deliver sample to QC Lab.,,,602076
14,Ensure that any agitators used have been turned off.,,,602076
15,Remove GHS label from the mix vessel.,,,602076
1,Gather the required materials.,,,602077
2,Verify that the vessel is clean. ,,,602077
3,Apply GHS label to the mix vessel.,,,602077
4,Charge vessel with Tomadol 91-8,lbs,031013,602077
5,Start agitator,,,602077
6,Add D-LIMONENE,lbs,030038,602077
7,Agitate for 10 minutes. ,,,602077
8,Add water.,gal,WATER,602077
9,Add APS-342,grams,031036,602077
10,Add SODIUM LAURYL SULFATE ,lbs,030085,602077
11,Add Coladet DEF 15,lbs,030008CN,602077
12,Agitate for 5 minutes.,,,602077
13,Add Busan 1264,lbs,030146,602077
14,Agitate for 10 minutes. ,,,602077
15,Add Tropical Coconut W/S #66716,lbs,030003,602077
16,Add Chromatint 1102,grams,100438,602077
17,Agitate until ingredients are mixed.,,,602077
18,Sample blend; label sample container; and deliver sample to QC Lab.,,,602077
19,Ensure that any agitators used have been turned off.,,,602077
20,Remove GHS label from the mix vessel.,,,602077
1,Gather the required materials.,,,602078
2,Verify that the vessel is clean. ,,,602078
3,Apply GHS label to the mix vessel.,,,602078
4,Charge vessel with water.,GAL,WATER,602078
5,Start agitator.,,,602078
6,Add Sugaboost,lbs,031051,602078
7,Add Preventol D7 CMIT,lbs,030146P,602078
8,Agitate for 5 minutes.,,,602078
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,602078
10,Ensure that any agitators used have been turned off.,,,602078
12,Remove GHS label from the mix vessel.,,,602078
1,Gather the required materials.,,,602080
2,Verify that the vessel is clean. ,,,602080
3,Apply GHS label to the mix vessel.,,,602080
4,Charge vessel with part Calumet 400-500<1%,gal,100507TANKO,602080
5,Start agitator.,,,602080
6,Add Lubrizol 9047W,lbs,100401,602080
7,Agitate for 5 minutes. ,,,602080
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,602080
9,Ensure that any agitators used have been turned off.,,,602080
10,Remove GHS label from the mix vessel.,,,602080
1,Gather the required materials.,,,602081
2,Verify that the vessel is clean. ,,,602081
3,Apply GHS label to the mix vessel.,,,602081
4,Charge vessel with water.,,WATER,602081
5,Start agitator.,,,602081
6,Add Tomadol 91-8,,031013,602081
7,Add Versene 100,,030019,602081
8,Add Glycol Ether DPM,,030011,602081
9,Add Odornone #69880,,030198,602081
10,Add IPA,,030018,602081
11,Add  Coladet 190,,030113,602081
12,Agitate for 10 minutes.,,,602081
13,Add Coconut Fragrance ,,030003,602081
14,Add Keyacid Napthol Green B-1,,030016,602081
15,Agitate for 5 minutes. ,,,602081
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,602081
17,Ensure that any agitators used have been turned off.,,,602081
18,Remove GHS label from the mix vessel.,,,602081
1,Gather the required materials.,,,602082
2,Verify that the vessel is clean. ,,,602082
3,Apply GHS label to the mix vessel.,,,602082
4,Charge vessel with Sasol LPA 170 (vessel B),,100507TANKB,602082
5,Start agitator.,,,602082
6,Add Advapel 851,,030114,602082
7,Add APS-232 OMS,,030115,602082
8,Add coconut lime fragrance #69979,,031037,602082
9,Agitate for 5 minutes. ,,,602082
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,602082
11,Ensure that any agitators used have been turned off.,,,602082
12,Remove GHS label from the mix vessel.,,,602082
1,Gather the required materials.,,,602090
2,Verify that the vessel is empty.,,,602090
3,Apply GHS label to the mix vessel.,,,602090
4,Charge vessel with LPA / Mineral Spirits.,GAL,030033,602090
5,Start agitator.,,,602090
6,Add Fibertech V-95,lbs,031064,602090
7,Agitate for 10 minutes,,,602090
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,602090
9,Ensure that any agitators used have been turned off.,,,602090
10,Remove GHS label from the mix vessel.,,,602090
1,Gather the required materials.,,,602095
2,Verify that the vessel is clean. ,,,602095
3,Apply GHS label to the mix vessel.,,,602095
4,Charge vessel with DI water.,gal,030143,602095
5,Ensure that the DI water pump is turned off.,,,602095
6,Keep agitator to absolute lowest speed possible.,,,602095
7,Add Protectupel 782M,lbs,030153,602095
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,602095
9,Ensure that any agitators used have been turned off.,,,602095
10,Remove GHS label from the mix vessel.,,,602095
1,Gather the required materials.,,,602602
2,Verify that the vessel is clean and empty. ,,,602602
3,"If making by MSR tank, make sure red light on",,,602602
4,Apply GHS label to the mix vessel.,,,602602
5,Charge vessel with DI Water (DIRECT FEED. DO NOT USE DI TANK),,030143,602602
6,Sample DI Water and bring to lab for conductivity testing. ,,,602602
7,Verify that DI Water passes conductivity testing. ,,,602602
7,Ensure that the DI water pump is turned off.,,,602602
8,Add Sodium Hypochlorite 12.5%,,030024,602602
9,Using red wire locks; re-seal sodium hypochlorite tote.,,,602602
10,Agitate for 10 minutes. ,,,602602
11,Add Vitech ILBT,,100536,602602
12,Add Sodium Hydroxide 50%,,050007,602602
13,Agitate for 10 minutes. ,,,602602
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,602602
15,Wash any totes that are being re-used with DI WATER,,,602602
16,Apply spraypainted dot indicating current use of tote--if on third use; dispose of tote. ,,,602602
17,Lab must take pictures of all totes before emptying batch.,,,602602
18,Upon approval from the lab; empty batch into totes with VENTED CAPS.,,,602602
1,Gather the required materials.,,,602603
2,Verify that the vessel is clean. ,,,602603
3,Charge vessel with DI water.,gal,030143,602603
4,Ensure that the DI water pump is turned off.,,,602603
5,Start agitator at lowest possible speed.,,,602603
6,Add Busan 1264,lbs,030146,602603
7,Add Advapel 734 slowly,lbs,031049,602603
8,Agitate for 10 minutes,,,602603
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,602603
10,Ensure that any agitators used have been turned off.,,,602603
1,Gather the required materials.,,,602604
2,Verify that the vessel is clean. ,,,602604
3,Apply GHS label to the mix vessel.,,,602604
4,Charge vessel with water.,,WATER,602604
5,Start agitator.,,,602604
6,Add Busan 1264,,030146,602604
7,Add Dissolvine GL-47,,030019,602604
8,Add Coladet DEF 15,,030008CN,602604
9,Add Citrus Fragrance #406692,,031050,602604
10,Add Chromatech Liquidtint Orange,,500321,602604
11,Agitate for 15 minutes.,,,602604
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,602604
13,Ensure that any agitators used have been turned off.,,,602604
14,Remove GHS label from the mix vessel.,,,602604
1,Gather the required materials.,,,602605
2,Verify that the vessel is clean. ,,,602605
3,Apply GHS label to the mix vessel.,,,602605
4,Charge vessel with water.,gal,WATER,602605
5,Start agitator.,,,602605
6,Add Busan 1264,lbs,030146,602605
7,Add Potassium Carbonate,lbs,030138,602605
8,Add Isopropyl Alcohol,lbs,030018,602605
9,Add 91-8,lbs,031013,602605
10,Add Dissolvine GL-47,lbs,031035,602605
11,Add Chromatech Liquidtint Orange,grams,500321,602605
12,Add Citrus Fragrance #406692,lbs,031050,602605
13,Agitate for 15 minutes.,,,602605
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,602605
15,Ensure that any agitators used have been turned off.,,,602605
16,Remove GHS label from the mix vessel.,,,602605
1,Gather the required materials.,,,602607CONC
2,Find a poly vessel and verify that the vessel is clean. ,,,602607CONC
3,Apply GHS label to the mix vessel.,,,602607CONC
4,Charge vessel with DI water.,gal,030143,602607CONC
5,Ensure that the DI water pump is turned off.,,,602607CONC
6,Start agitator.,,,602607CONC
7,Add IPA,lbs,030018,602607CONC
8,Add Dye Methylene Chloride Blue,grams,030155,602607CONC
9,Add Phosphoric Acid,lbs,240079,602607CONC
10,Using black wire locks; re-seal phosphoric acid tote.,,,602607CONC
11,Agitate for 5 minutes. ,,,602607CONC
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,602607CONC
13,Ensure that any agitators used have been turned off.,,,602607CONC
14,Remove GHS label from the mix vessel.,,,602607CONC
1,Gather the required materials.,,,602607RTU
2,Find a poly vessel and verify that the vessel is clean. ,,,602607RTU
3,Apply GHS label to the mix vessel.,,,602607RTU
4,Charge vessel with DI water.,,030143,602607RTU
5,Ensure that the DI water pump is turned off.,,,602607RTU
6,Start agitator.,,,602607RTU
7,Add IPA,,030018,602607RTU
8,Add Dye Methylene Chloride Blue,,030155,602607RTU
9,Add Phosphoric Acid,,240079,602607RTU
10,Using black wire locks; re-seal phosphoric acid tote.,,,602607RTU
11,Agitate for 5 minutes. ,,,602607RTU
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,602607RTU
13,Ensure that any agitators used have been turned off.,,,602607RTU
14,Remove GHS label from the mix vessel.,,,602607RTU
1,Gather the required materials.,,,63568CONC.B
2,Verify that the vessel is clean. ,,,63568CONC.B
3,Apply GHS label to the mix vessel.,,,63568CONC.B
4,Charge Vessel with 240060 -- CHEM - OOOPS SUPER Concentrate  ,gal,,63568CONC.B
5,Add 240061 -- CHEM - OOOPS NUTRIENT PACK (578 grams per pack),grams,,63568CONC.B
6,Sample 030143CHEM - DI WATER and bring to lab for conductivity testing. ,,,63568CONC.B
7,Verify that 030143 CHEM - DI WATER (softened/deionized) passes conductivity testing.  ,,,63568CONC.B
8,Add 030143 CHEM - DI WATER  ,gal,,63568CONC.B
9,Agitate for 15 minutes.,,,63568CONC.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,63568CONC.B
11,Ensure that any agitators used have been turned off.,,,63568CONC.B
12,Remove GHS label from the mix vessel.,,,63568CONC.B
1,Gather the required materials.,,,63568RTU.B
2,Verify that the vessel is clean. ,,,63568RTU.B
3,Apply GHS label to the mix vessel.,,,63568RTU.B
4,Charge Vessel with 030143 -- CHEM - DI WATER (softened/deionized),gallon,,63568RTU.B
5,Sample DI Water and bring to lab for conductivity testing. ,,,63568RTU.B
6,Verify that DI Water passes conductivity testing. (Must be under 5uS),,,63568RTU.B
7,Add 63568CONC.B - BLEND-OOOPS CONCETRATE,gal,,63568RTU.B
9,Agitate for 15 minutes.,,,63568RTU.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,63568RTU.B
11,Ensure that any agitators used have been turned off.,,,63568RTU.B
12,Remove GHS label from the mix vessel.,,,63568RTU.B
1,Gather the required materials.,,,7-2738.B
2,Verify that the vessel is clean. ,,,7-2738.B
3,Charge vessel with water.,gal,WATER,7-2738.B
4,Add CHROMATINT BLUE 0408 D3500.,grams,030112,7-2738.B
5,Add APW 320N. ,lbs,030193,7-2738.B
6,Add IPA.,lbs,030018,7-2738.B
7,Add Flexiwet NF.,lbs,030079,7-2738.B
8,Add Blueberry W/S Fragrance.,lbs,030175,7-2738.B
9,Add Busan 1264.,lbs,030146,7-2738.B
10,Add APS-342,grams,100473,7-2738.B
11,Agitate for 20 minutes.,,,7-2738.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,7-2738.B
13,Ensure that any agitators used have been turned off.,,,7-2738.B
1,Gather the required materials.,,,81500.B
2,Verify that the vessel is clean. ,,,81500.B
3,Apply GHS labels to the mix vessel.,,,81500.B
4,Charge vessel with water.,,WATER,81500.B
5,Add Oxalic Acid.,,030025,81500.B
6,Start agitator. ,,,81500.B
7,Add Glycol Ether EB.,,030012,81500.B
8,Add Glycol Ether DB.,,031031,81500.B
9,Add Tomadol 91-8.,,031013,81500.B
10,Agitate for 20 minutes.,,,81500.B
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,81500.B
12,Ensure that any agitators used have been turned off.,,,81500.B
13,Remove GHS labels from the mix vessel.,,,81500.B
1,Gather the required materials.,,,83200.B
2,Verify that the vessel is clean. ,,,83200.B
3,Apply GHS labels to the mix vessel.,,,83200.B
4,Charge vessel with water.,,WATER,83200.B
5,Start agitator. ,gal,WATER,83200.B
6,Add Versene 100,lbs,030019,83200.B
7,Add Glycol Ether DB,lbs,031031,83200.B
8,Add 91-8,lbs,031013,83200.B
9,Add Lemon Frag,lbs,030004,83200.B
10,Agitate for 15 minutes.,,,83200.B
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,83200.B
12,Ensure that any agitators used have been turned off.,,,83200.B
13,Remove GHS labels from the mix vessel.,,,83200.B
1,Gather the required materials.,,,84200.B
2,Verify that a POLY vessel is clean. ,,,84200.B
3,Apply GHS labels to the mix vessel.,,,84200.B
4,Charge vessel with water.,gal,WATER,84200.B
5,Start agitator. ,,,84200.B
6,Add DYE-Chromatech Blue 0408 D35000,grams,030112,84200.B
7,Add DYE-Cromatint  Red 1887 D93287,grams,050017,84200.B
8,Add Dissolvine E-39,lbs,030019,84200.B
9,Add sodium metasilcate,lbs,240073,84200.B
10,Mix for 10 minutes, ,,84200.B
11,Add Glycol Ether DB,lbs,031031,84200.B
12,Add Pilot AOS 40,lbs,030152,84200.B
13,Add Caustic Soda 50% Membrane grade,lbs,050007,84200.B
14,Agitate for 15 minutes.,,,84200.B
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,84200.B
16,Ensure that any agitators used have been turned off.,,,84200.B
17,Remove GHS labels from the mix vessel.,,,84200.B
1,Gather the required materials.,,,86600.B
2,Verify that the vessel is clean. ,,,86600.B
3,Apply GHS labels to the mix vessel.,,,86600.B
4,Charge vessel with water.,,WATER,86600.B
5,Add Maquat QSX 105S.,,030001,86600.B
6,Sample blend; label sample container; and deliver sample to QC Lab.,,,86600.B
7,Ensure that any agitators used have been turned off.,,,86600.B
8,Remove GHS labels from the mix vessel.,,,86600.B
1,Gather the required materials.,,,86700.B
2,Verify that the vessel is clean. ,,,86700.B
3,Apply GHS labels to the mix vessel.,,,86700.B
4,Charge vessel with Motiva Star 12.,,100421G2,86700.B
5,Start agitator. ,,,86700.B
6,Add Orange Enhancer,,030124,86700.B
7,Add aps-342,,031036,86700.B
8,Add Eversorb 83,,100516,86700.B
9,Agitate for 20 minutes.,,,86700.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,86700.B
11,Ensure that any agitators used have been turned off.,,,86700.B
12,Remove GHS labels from the mix vessel.,,,86700.B
1,Gather the required materials.,,,87700.B
2,Verify that the vessel is clean. ,,,87700.B
3,Apply GHS label to the mix vessel.,,,87700.B
4,Charge vessel with water.,,WATER,87700.B
5,Start agitator. ,,,87700.B
6,Add Vitech ALB,,100517,87700.B
7,Using black wire locks; re-seal Vitech ALB tote.,,,87700.B
8,Agitate for 10 minutes.,,,87700.B
9,Add Sulfuric acid,,030015,87700.B
10,Using green wire locks; re-seal sulfuric acid tote.,,,87700.B
11,Agitate for 10 minutes.,,,87700.B
12,Add Vitech EQ-i,,100518,87700.B
13,Add Vitech DAN,,100519,87700.B
14,Verify that batch is clear.,,,87700.B
15,Agitate for 10 minutes.,,,87700.B
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,87700.B
17,Ensure that any agitators used have been turned off.,,,87700.B
18,Remove GHS label from the mix vessel.,,,87700.B
1,Gather the required materials.,,,88300.B
2,Verify that the vessel is clean. ,,,88300.B
3,Apply GHS label to the mix vessel.,,,88300.B
4,Charge vessel with water.,,WATER,88300.B
5,Add Videt Eqi,,100518,88300.B
6,Add API WS 500,,030107,88300.B
7,Add Busan 1264,,030146,88300.B
8,Add Tropical Coconut W/S ,,030003,88300.B
9,Add Chromatint 1887,,050017,88300.B
10,Add APS-342,,031036,88300.B
11,Agitate until ingredients are mixed.,,,88300.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,88300.B
13,Ensure that any agitators used have been turned off.,,,88300.B
14,Remove GHS label from the mix vessel.,,,88300.B
1,Gather the required materials.,,,89754.B 
2,Verify that the vessel is clean. ,,,89754.B 
3,Apply GHS label to the mix vessel.,,,89754.B 
4,Charge vessel with water.,,WATER,89754.B 
5,Start agitator.,,,89754.B 
6,Add Novac Acl,,031027,89754.B 
7,Agitate for 15 minutes.,,,89754.B 
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,89754.B 
9,Ensure that any agitators used have been turned off.,,,89754.B 
10,Remove GHS label from the mix vessel.,,,89754.B 
1,Gather the required materials.,,,89755.B
2,Verify that the vessel is clean. ,,,89755.B
3,Apply GHS label to the mix vessel.,,,89755.B
4,Charge vessel with DI water.,,030143,89755.B
5,Ensure that the DI water pump is turned off.,,,89755.B
6,Add Isopropyl Alcohol.,,030018,89755.B
7,Start agitator.,,,89755.B
8,Add Busan 1264,,030146,89755.B
9,Reduce agitator to absolute lowest speed possible.,,,89755.B
10,Add Advapel 734.,,031025,89755.B
11,Agitate for 15 minutes on lowest speed.,,,89755.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,89755.B
13,Ensure that any agitators used have been turned off.,,,89755.B
14,Remove GHS label from the mix vessel.,,,89755.B
1,Gather the required materials.,,,90400.B
2,Verify that the vessel is clean. ,,,90400.B
3,Charge vessel with water.,gal,WATER,90400.B
4,Start agitator.,,,90400.B
5,Add GL47,lbs,031035,90400.B
6,Agitate for 10 minutes,,,90400.B
7,Add Ammonium Chloride,lbs,030007,90400.B
8,Agitate for 10 minutes,,,90400.B
10,Add Liquidtint Violet DYE 0974,GRAMS,050012,90400.B
11,Add Coladet DEF 15,lbs,030008CN,90400.B
12,Agitate for 20 minutes then add:,,,90400.B
13,Add Preventol D7,lbs,030146P,90400.B
14,Agitate for 15 minutes.,,,90400.B
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,90400.B
16,Ensure that any agitators used have been turned off.,,,90400.B
17,Remove GHS hazard label from vessel and add LOT#'s to finished totes,,,90400.B
1,Gather the required materials.,,,91000.B
2,Verify that the poly polish vessel is clean. ,,,91000.B
3,Apply GHS label to the mix vessel.,,,91000.B
4,Charge vessel with water.,lbs,WATER,91000.B
5,Start agitator.,,,91000.B
6,Add Busan 1264,lbs,030146,91000.B
7,Add Accusol 820,lbs,030000,91000.B
8,Agitate for 15 minutes.,,,91000.B
9,Add API 345V,lbs,100515,91000.B
10,Add Eversorb AQ1,lbs,030110,91000.B
11,Add Tropical Coconut W/S #66716,lbs,030003,91000.B
12,Add APS-342,lbs,031036,91000.B
13,Add 50 gallons of thick product from last batch,gal,,91000.B
14,Agitate for 20 minutes.,,,91000.B
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,91000.B
16,Ensure that any agitators used have been turned off.,,,91000.B
17,Remove GHS label from the mix vessel.,,,91000.B
1,Gather the required materials.,,,92000.B
2,Verify that the vessel is clean. ,,,92000.B
3,Apply GHS label to the mix vessel.,,,92000.B
4,Charge vessel with DI water.,,030143,92000.B
5,Start agitator. ,,,92000.B
6,Add Acetic Acid,,030161,92000.B
7,Add T-DET A 267,,031039,92000.B
8,Add BYK 565,,031047,92000.B
9,Add APS-342,,031036,92000.B
10,Add Gylcol Ether DB,,031031,92000.B
11,Add Busan 1264,,030146,92000.B
12,Ocean Breeze Frag,,030199,92000.B
13,Agitate for 20 minutes.,,,92000.B
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,92000.B
15,Ensure that any agitators used have been turned off.,,,92000.B
16,Remove GHS label from the mix vessel.,,,92000.B
1,Gather the required materials.,,,93100DSL.B
2,Verify that the vessel is clean.,,,93100DSL.B
3,Change all sock filters and water trap filters.,,,93100DSL.B
4,Set aside 100gal of Calumet 400-500<1% LPA 170.,gal,100507TANKO,93100DSL.B
5,Charge vessel with all remaining Calumet 400-500<1% LPA 170.,gal,100507TANKO,93100DSL.B
6,Start agitator at 160 RPM.,,,93100DSL.B
7,Add Enzyme through 5 and 1 micron filter stacked.,lbs,100433,93100DSL.B
8,Flush pump and add the extra 100gal of Calumet.,gal,100507TANKO,93100DSL.B
9,Agitate for 1 hour.,,,93100DSL.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,93100DSL.B
11,Ensure that any agitators used have been turned off.,,,93100DSL.B
12,"When dumping, inspect storage tote for any trash, dirt, and/or water contamination.",,,93100DSL.B
1,Gather the required materials.,,,93100GAS.B
2,Verify that the vessel is clean.,,,93100GAS.B
3,Agitate enzyme drums for 3 minutes before using.,,,93100GAS.B
4,Change all sock filters and water trap filters.,,,93100GAS.B
5,Set aside 100gal of Calumet 400-500<1% LPA 170.,gal,100507TANKO,93100GAS.B
6,Charge vessel with all remaining Calumet 400-500<1% LPA 170.,gal,100507TANKO,93100GAS.B
7,Start agitator at 160 RPM.,,,93100GAS.B
8,Add Enzyme through 5 and 1 micron filter stacked.,lbs,100433,93100GAS.B
9,Flush pump and add the extra 100gal of Calumet.,gal,100507TANKO,93100GAS.B
10,Agitate for 1 hour.,,,93100GAS.B
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,93100GAS.B
12,Ensure that any agitators used have been turned off.,,,93100GAS.B
13,"When dumping, inspect storage tote for any trash, dirt, and/or water contamination.",,,93100GAS.B
1,Gather the required materials.,,,93100GASAMBER.B
2,Verify that the vessel is clean.,,,93100GASAMBER.B
3,Change all sock filters and water trap filters.,,,93100GASAMBER.B
4,Agitate enzyme drums for 3 minutes before using.,,,93100GASAMBER.B
5,Set aside 100gal of Calumet 400-500<1% LPA 170.,gal,100507TANKO,93100GASAMBER.B
6,Charge vessel with all remaining Calumet 400-500<1% LPA 170.,gal,100507TANKO,93100GASAMBER.B
7,Start agitator at 160 RPM.,,,93100GASAMBER.B
8,Add Enzyme through 5 and 1 micron filter stacked.,lbs,100433,93100GASAMBER.B
9,Flush pump and add the extra 100gal of Calumet.,gal,100507TANKO,93100GASAMBER.B
10,Pump product to dedicated amber-startron mix vessel. (Tank 17).,,,93100GASAMBER.B
11,Hook air hose to line so excess product is blown out and product in vessel begins bubbling.,,,93100GASAMBER.B
12,Leaving air on so that air bubbles agitate the blend; add Chromatint Yellow Dye HF D51003.,grams,030192,93100GASAMBER.B
13,Leaving air on so that air bubbles agitate the blend; add Chromatint Red IK D530004.,grams,100416,93100GASAMBER.B
14,Mix product for 1 hour using air bubbles. ,,,93100GASAMBER.B
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,93100GASAMBER.B
16,Ensure that any agitators used have been turned off.,,,93100GASAMBER.B
1,Gather the required materials.,,,93100GASBLUE.B
2,Verify that the vessel is clean.,,,93100GASBLUE.B
3,Agitate enzyme drums for 3 minutes before using.,,,93100GASBLUE.B
4,Change all sock filters and water trap filters.,,,93100GASBLUE.B
5,Set aside 100gal of Calumet 400-500<1% LPA 170.,gal,100507TANKO,93100GASBLUE.B
6,Charge vessel with all remaining Calumet 400-500<1% LPA 170.,gal,100507TANKO,93100GASBLUE.B
7,Start agitator at 160 RPM.,,,93100GASBLUE.B
8,Add Enzyme through 5 and 1 micron filter stacked.,lbs,100433,93100GASBLUE.B
9,Flush pump and add the extra 100gal of Calumet.,gal,100507TANKO,93100GASBLUE.B
10,Add Chromatint Blue HF D55000,grams,031028,93100GASBLUE.B
11,Agitate for 4 hours.,,,93100GASBLUE.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,93100GASBLUE.B
13,Ensure that any agitators used have been turned off.,,,93100GASBLUE.B
14,"When dumping, inspect storage tote for any trash, dirt, and/or water contamination.",,,93100GASBLUE.B
1,Gather the required materials.,,,93100TANK.B
2,Verify that the vessel is clean.,,,93100TANK.B
3,Agitate enzyme drums for 3 minutes before using.,,,93100TANK.B
4,Change all sock filters and water trap filters.,,,93100TANK.B
5,Set aside 100gal of Calumet 400-500<1% LPA 170.,gal,100507TANKO,93100TANK.B
6,Charge vessel with all remaining Calumet 400-500<1% LPA 170.,gal,100507TANKO,93100TANK.B
7,Start agitator at 160 RPM.,,,93100TANK.B
8,Add Enzyme through 5 and 1 micron filter stacked.,lbs,100433,93100TANK.B
9,Flush pump and add the extra 100gal of Calumet.,gal,100507TANKO,93100TANK.B
10,Agitate for 4 hours.,,,93100TANK.B
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,93100TANK.B
12,Ensure that any agitators used have been turned off.,,,93100TANK.B
13,"When dumping, inspect storage tote for any trash, dirt, and/or water contamination.",,,93100TANK.B
1,Gather the required materials.,,,93100XBEE.B
2,Verify that the vessel is clean.,,,93100XBEE.B
3,Wipe dust off tops of enzyme drums before opening.,,,93100XBEE.B
4,Agitate enzyme drums for 3 minutes before using.,,,93100XBEE.B
5,Change all sock filters and water trap filters.,,,93100XBEE.B
6,Charge vessel with all remaining Calumet 400-500<1%,gal,100507TANKO,93100XBEE.B
7,Start agitator at 160 RPM.,,,93100XBEE.B
8,Add Enzyme through 5 and 1 micron filter stacked.,lb,100433CONS,93100XBEE.B
9,Agitate for 4 hours.,,,93100XBEE.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,93100XBEE.B
11,Ensure that any agitators used have been turned off.,,,93100XBEE.B
12,"When dumping, inspect storage tote for any trash, dirt, and/or water contamination.",,,93100XBEE.B
13,If Filling Drum Blends - pull one quart after 3rd drum is filled,,,93100XBEE.B
1,Gather the required materials.,,,93700.B
2,Verify that the vessel is clean. ,,,93700.B
3,Apply GHS label to the mix vessel.,,,93700.B
4,Charge vessel with water.,gal,WATER,93700.B
5,Start agitator. ,,,93700.B
6,Add Lauramine Oxide,lbs,030021,93700.B
7,Add Colamid 0071 or Ninol 30 LL,lbs,030104,93700.B
8,Add AOS 40,lbs,030152,93700.B
9,Add Sodium Lauryl Sulfate,lbs,030085,93700.B
10,Add Protelen LS 7585 (in totes-temprary only using until gone),lbs,030179,93700.B
11,Add Pine Oil,lbs,100436,93700.B
